city,city_en,city_fa,lat,lng,country,iso2,admin_name,capital,population,population_proper
Shahrak-e Goldasteh,Shahrak-e Goldasteh,شهرک گل‌دسته,35.6031,51.27,Iran,IR,Tehrān,,7602.0,7602.0
Māyān-e Pā’īn,Mayan-e Pain,مایان پایین,38.0864,46.1036,Iran,IR,Āz̄arbāyjān-e Sharqī,,6596.0,6596.0
Līqvān,Liqvan,لیقوان,37.8344,46.43,Iran,IR,Āz̄arbāyjān-e Sharqī,,5350.0,5350.0
Ravājīr,Ravajir,راواجیر,37.1892,49.5886,Iran,IR,Gīlān,,4728.0,4728.0
Alīābād,Aliabad,علی‌آباد,35.5228,51.2044,Iran,IR,Tehrān,,4562.0,4562.0
Shādbād-e Mashāyekh,Shadbad-e Mashayekh,شادباد مشایخ,37.9892,46.3586,Iran,IR,Āz̄arbāyjān-e Sharqī,,4317.0,4317.0
Fakhab,Fakhab,فاکهاب,37.3111,49.5639,Iran,IR,Gīlān,,3851.0,3851.0
Beyraq,Beyraq,بیرق,37.8872,46.4683,Iran,IR,Āz̄arbāyjān-e Sharqī,,3703.0,3703.0
Ḩasanābād-e Loqmanī,Hasanabad-e Loqmani,حسن‌آباد لقمانی,35.6189,51.1947,Iran,IR,Tehrān,,3568.0,3568.0
Sefīdān-e Jadīd,Sefidan-e Jadid,سفیدان جدید,38.2819,46.34,Iran,IR,Āz̄arbāyjān-e Sharqī,,3515.0,3515.0
Shahrak-e Dānesh,Shahrak-e Danesh,شهرک دانش,35.6947,51.1819,Iran,IR,Tehrān,,3402.0,3402.0
Lūlamān,Lulaman,لولمان,37.2783,49.7728,Iran,IR,Gīlān,,3175.0,3175.0
Haft Jūy,Haft Juy,هفت‌جوی,35.72,51.0553,Iran,IR,Tehrān,,3137.0,3137.0
Tīrānchī,Tiranchi,تیرانچی,32.63,51.5219,Iran,IR,Eşfahān,,3122.0,3122.0
Bālā Maḩalleh-ye Chowkām,Bala Mahalleh-ye Chowkam,بالا ماهاللهه-یه کهوکام,37.3822,49.6156,Iran,IR,Gīlān,,3096.0,3096.0
Ţālem Seh Shanbeh,Talem Seh Shanbeh,تالهم سهه سهانبهه,37.1617,49.6828,Iran,IR,Gīlān,,2687.0,2687.0
Chīchaklū,Chichaklu,کهیکهاکلو,35.5636,51.2053,Iran,IR,Tehrān,,2656.0,2656.0
Kazh Deh,Kazh Deh,کازه ده,37.2981,49.62,Iran,IR,Gīlān,,2623.0,2623.0
Bāghkomīsh,Baghkomish,باگهکومیسه,35.7033,51.7847,Iran,IR,Tehrān,,2566.0,2566.0
Rūd Bardeh,Rud Bardeh,رود بارده,37.2078,49.6978,Iran,IR,Gīlān,,2563.0,2563.0
Shams-e Bījār,Shams-e Bijar,سهامس بیجار,37.3103,49.5997,Iran,IR,Gīlān,,2494.0,2494.0
Shahrak-e Golrīz,Shahrak-e Golriz,شهراک گولریز,35.6089,51.3622,Iran,IR,Tehrān,,2356.0,2356.0
Mesgarābād,Mesgarabad,مهسگارآباد,35.6272,51.5128,Iran,IR,Tehrān,,2265.0,2265.0
Māyān-e Bālā,Mayan-e Bala,مایان بالا,38.1061,46.1128,Iran,IR,Āz̄arbāyjān-e Sharqī,,2244.0,2244.0
Sheykh Ḩasan,Sheykh Hasan,سههیکه حسن,38.0214,46.1061,Iran,IR,Āz̄arbāyjān-e Sharqī,,2240.0,2240.0
Sefīdeh Khān,Sefideh Khan,سهفیده خان,37.8314,46.4022,Iran,IR,Āz̄arbāyjān-e Sharqī,,2213.0,2213.0
Nowjeh Deh,Nowjeh Deh,نوجهه ده,38.0475,46.0406,Iran,IR,Āz̄arbāyjān-e Sharqī,,2057.0,2057.0
Zarnaq,Zarnaq,زرنق,37.9811,46.4303,Iran,IR,Āz̄arbāyjān-e Sharqī,,2036.0,2036.0
Ne‘matābād,Nematabad,نعمت‌آباد,38.0122,46.4564,Iran,IR,Āz̄arbāyjān-e Sharqī,,2020.0,2020.0
Lecheh Gūrāb,Lecheh Gurab,لهکههه گوراب,37.2797,49.6639,Iran,IR,Gīlān,,2013.0,2013.0
Tāzeh Kand,Tazeh Kand,تازه‌کند,37.98,46.0011,Iran,IR,Āz̄arbāyjān-e Sharqī,,1980.0,1980.0
Vīshkānank,Vishkanank,ویسهکانانک,37.2211,49.7061,Iran,IR,Gīlān,,1965.0,1965.0
Kolā Chāh-e Avval,Kola Chah-e Avval,کولا کهاه اوال,37.3692,49.7053,Iran,IR,Gīlān,,1926.0,1926.0
Shādbād-e ‘Olyā,Shadbad-e Olya,سهادباد ولیا,37.9825,46.4208,Iran,IR,Āz̄arbāyjān-e Sharqī,,1884.0,1884.0
Gīl-e Pardesar,Gil-e Pardesar,گیل پاردهسر,37.2081,49.6653,Iran,IR,Gīlān,,1865.0,1865.0
Khvāchekīn,Khvachekin,کهواکههکین,37.3781,49.65,Iran,IR,Gīlān,,1824.0,1824.0
Karasht,Karasht,کاراسهت,35.7186,51.8336,Iran,IR,Tehrān,,1785.0,1785.0
Golsarak,Golsarak,گولسراک,37.0289,49.6339,Iran,IR,Gīlān,,1782.0,1782.0
Chavān,Chavan,کهاوان,37.985,46.3908,Iran,IR,Āz̄arbāyjān-e Sharqī,,1729.0,1729.0
Tasīyeh,Tasiyeh,تاسییهه,37.3922,49.7058,Iran,IR,Gīlān,,1721.0,1721.0
Gīlovā,Gilova,گیلوا,37.3092,49.8072,Iran,IR,Gīlān,,1706.0,1706.0
Khanā Chāh,Khana Chah,خانا کهاه,37.2722,49.6967,Iran,IR,Gīlān,,1683.0,1683.0
Mozhdeh,Mozhdeh,موزهده,37.2608,49.7319,Iran,IR,Gīlān,,1677.0,1677.0
Pāchkenār,Pachkenar,پاکهکهنار,37.2731,49.6525,Iran,IR,Gīlān,,1638.0,1638.0
Pā’īn Maḩalleh-ye Foshtom,Pain Mahalleh-ye Foshtom,پایین ماهاللهه-یه فوسهتوم,37.2811,49.8686,Iran,IR,Gīlān,,1636.0,1636.0
Dāfchāh,Dafchah,دافکهاه,37.3386,49.6919,Iran,IR,Gīlān,,1632.0,1632.0
Bālā Maḩalleh-ye Gafsheh,Bala Mahalleh-ye Gafsheh,بالا ماهاللهه-یه گافسههه,37.3372,49.8197,Iran,IR,Gīlān,,1533.0,1533.0
Qal‘eh-ye Amīrīyeh,Qaleh-ye Amiriyeh,قلعه-یه امیریه,32.6431,51.5419,Iran,IR,Eşfahān,,1510.0,1510.0
Kondor,Kondor,کندر,35.8461,51.1097,Iran,IR,Alborz,,1498.0,1498.0
Eshkīk,Eshkik,هسهکیک,37.3628,49.6236,Iran,IR,Gīlān,,1451.0,1451.0
Belesbeneh,Belesbeneh,بهلهسبهنهه,37.2797,49.7444,Iran,IR,Gīlān,,1420.0,1420.0
Jūbaneh,Jubaneh,جوبانهه,37.1714,49.7056,Iran,IR,Gīlān,,1407.0,1407.0
Jīrsar-e Chowkām,Jirsar-e Chowkam,جیرسر کهوکام,37.4042,49.5969,Iran,IR,Gīlān,,1392.0,1392.0
Barkā Deh,Barka Deh,بارکا ده,37.3031,49.745,Iran,IR,Gīlān,,1385.0,1385.0
Velāyat Rūd,Velayat Rud,وهلایات رود,36.0808,51.3808,Iran,IR,Alborz,,1382.0,1382.0
Kenār Sar-e Bozorg,Kenar Sar-e Bozorg,کهنار سر بوزورگ,37.3178,49.7878,Iran,IR,Gīlān,,1369.0,1369.0
Sīāh Sang,Siah Sang,سیاه سانگ,35.7267,51.7772,Iran,IR,Tehrān,,1350.0,1350.0
Falak Deh,Falak Deh,فالاک ده,37.2169,49.5506,Iran,IR,Gīlān,,1329.0,1329.0
Alvār-e Bālā,Alvar-e Bala,الوار بالا,38.1503,46.1764,Iran,IR,Āz̄arbāyjān-e Sharqī,,1309.0,1309.0
Shahrestānak,Shahrestanak,شهرستانک,35.97,51.3536,Iran,IR,Tehrān,,1307.0,1307.0
Nashtrūd Kol,Nashtrud Kol,ناسهترود کول,37.1961,49.7289,Iran,IR,Gīlān,,1304.0,1304.0
Bonakdeh,Bonakdeh,بنکده,37.1811,49.7339,Iran,IR,Gīlān,,1285.0,1285.0
Kadū Sarā,Kadu Sara,کادو سرا,37.2367,49.7689,Iran,IR,Gīlān,,1241.0,1241.0
Fakhrābād,Fakhrabad,فخرآباد,37.4044,49.8775,Iran,IR,Gīlān,,1236.0,1236.0
Shījān,Shijan,سهیجان,37.4194,49.5939,Iran,IR,Gīlān,,1223.0,1223.0
Karbāsdeh,Karbasdeh,کارباسده,37.2686,49.7972,Iran,IR,Gīlān,,1186.0,1186.0
Jīldān,Jildan,جیلدان,37.3925,49.8453,Iran,IR,Gīlān,,1181.0,1181.0
Mīshāmandān,Mishamandan,میسهاماندان,37.3111,49.6769,Iran,IR,Gīlān,,1174.0,1174.0
Khoshk Esţalkh,Khoshk Estalkh,کهوسهک هستالکه,37.4336,49.8344,Iran,IR,Gīlān,,1168.0,1168.0
